# ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken, PA.
#
# Solar constant 1366.1 W/m2
#
# Irradiance is averaged over a small bandwidth centered at the given wavelength.
#
# Table 3
# Units: μm, W/m2/μm, W/m2
wavelength, spectral irradiance, integrated irradiance, cumulative percent
0.2775, 233.8, 6.36, 0.466
1.622, 238.3, 1217.37, 89.11
0.2785, 159.3, 6.56, 0.480
1.624, 241.6, 1217.85, 89.15
0.2795, 85.55, 6.68, 0.489
1.626, 240.2, 1218.33, 89.18
0.2805, 94.63, 6.77, 0.496
1.628, 241.8, 1218.81, 89.22
0.2815, 208.3, 6.92, 0.507
1.630, 239.3, 1219.29, 89.25
0.2825, 294.1, 7.18, 0.525
1.632, 238.7, 1219.77, 89.29
0.2835, 313.5, 7.48, 0.547
1.634, 235.9, 1220.25, 89.32
0.2845, 235.3, 7.75, 0.568
1.636, 235.7, 1220.72, 89.36
0.2855, 163.1, 7.95, 0.582
1.638, 227.4, 1221.18, 89.39
0.2865, 322.7, 8.20, 0.600
1.640, 226.2, 1221.63, 89.42
0.2875, 336.3, 8.53, 0.624
1.642, 226.6, 1222.09, 89.46
0.2885, 322.2, 8.85, 0.648
1.644, 227.8, 1222.54, 89.49
0.2895, 472.7, 9.25, 0.677
1.646, 229.4, 1223.00, 89.52
0.2905, 601.3, 9.79, 0.717
1.648, 229.2, 1223.46, 89.56
0.2915, 580.8, 10.38, 0.760
1.650, 227.2, 1223.91, 89.59
0.2925, 521.9, 10.93, 0.800
1.652, 226.8, 1224.37, 89.63
0.2935, 535.5, 11.46, 0.839
1.654, 226.2, 1224.82, 89.66
0.2945, 508.8, 11.98, 0.877
1.656, 226.0, 1225.27, 89.69
0.2955, 553.2, 12.51, 0.916
1.658, 225.2, 1225.72, 89.72
0.2965, 509.6, 13.04, 0.955
1.660, 224.5, 1226.17, 89.76
0.2975, 507.3, 13.55, 0.992
1.662, 224.6, 1226.62, 89.79
0.2985, 465.5, 14.04, 1.03
1.664, 222.7, 1227.07, 89.82
0.2995, 484.0, 14.51, 1.06
1.666, 221.2, 1227.51, 89.86
0.3005, 420.0, 14.97, 1.10
1.668, 219.3, 1227.95, 89.89
0.3015, 455.5, 15.40, 1.13
1.670, 222.5, 1228.40, 89.92
0.3025, 489.0, 15.88, 1.16
1.672, 217.3, 1228.84, 89.95
0.3035, 620.6, 16.43, 1.20
1.674, 219.3, 1229.27, 89.98
0.3045, 602.5, 17.04, 1.25
1.676, 216.1, 1229.71, 90.02
0.3055, 594.8, 17.64, 1.29
1.678, 216.8, 1230.14, 90.05
0.3065, 555.7, 18.22, 1.33
1.680, 208.0, 1230.57, 90.08
0.3075, 615.0, 18.80, 1.38
1.682, 205.4, 1230.98, 90.11
0.3085, 611.4, 19.42, 1.42
1.684, 212.9, 1231.40, 90.14
0.3095, 496.5, 19.97, 1.46
1.686, 213.1, 1231.82, 90.17
0.3105, 622.4, 20.53, 1.50
1.688, 212.0, 1232.25, 90.20
0.3115, 729.2, 21.20, 1.55
1.690, 210.5, 1232.67, 90.23
0.3125, 655.9, 21.90, 1.60
1.692, 212.3, 1233.09, 90.26
0.3135, 699.9, 22.58, 1.65
1.694, 211.2, 1233.52, 90.29
0.3145, 662.9, 23.26, 1.70
1.696, 210.0, 1233.94, 90.33
0.3155, 633.0, 23.90, 1.75
1.698, 208.9, 1234.36, 90.36
0.3165, 633.2, 24.54, 1.80
1.700, 206.3, 1234.77, 90.39
0.3175, 773.9, 25.24, 1.85
1.702, 204.7, 1235.18, 90.42
0.3185, 664.9, 25.96, 1.90
1.704, 205.2, 1235.59, 90.45
0.3195, 710.5, 26.65, 1.95
1.706, 205.0, 1236.01, 90.48
0.3205, 805.1, 27.41, 2.01
1.708, 201.7, 1236.41, 90.51
0.3215, 699.5, 28.16, 2.06
1.710, 201.3, 1236.81, 90.54
0.3225, 688.6, 28.85, 2.11
1.712, 198.2, 1237.21, 90.57
0.3235, 661.3, 29.53, 2.16
1.714, 203.7, 1237.62, 90.59
0.3245, 760.8, 30.24, 2.21
1.716, 202.2, 1238.02, 90.62
0.3255, 875.8, 31.06, 2.27
1.718, 201.0, 1238.42, 90.65
0.3265, 979.5, 31.98, 2.34
1.720, 199.3, 1238.82, 90.68
0.3275, 952.7, 32.95, 2.41
1.722, 197.5, 1239.22, 90.71
0.3285, 917.6, 33.89, 2.48
1.724, 195.4, 1239.61, 90.74
0.3295, 1061, 34.87, 2.55
1.726, 198.2, 1240.01, 90.77
0.3305, 1016, 35.91, 2.63
1.728, 197.1, 1240.40, 90.80
0.3315, 965.7, 36.90, 2.70
1.730, 198.4, 1240.80, 90.83
0.3325, 954.9, 37.86, 2.77
1.732, 193.6, 1241.19, 90.86
0.3335, 921.6, 38.80, 2.84
1.734, 187.4, 1241.57, 90.88
0.3345, 958.9, 39.74, 2.91
1.736, 182.7, 1241.94, 90.91
0.3355, 943.4, 40.69, 2.98
1.738, 186.3, 1242.31, 90.94
0.3365, 809.5, 41.57, 3.04
1.740, 190.5, 1242.69, 90.97
0.3375, 841.8, 42.40, 3.10
1.742, 190.2, 1243.07, 90.99
0.3385, 921.5, 43.28, 3.17
1.744, 190.7, 1243.45, 91.02
0.3395, 958.1, 44.22, 3.24
1.746, 186.7, 1243.83, 91.05
0.3405, 1007, 45.20, 3.31
1.748, 187.2, 1244.20, 91.08
0.3415, 923.8, 46.17, 3.38
1.750, 185.8, 1244.57, 91.10
0.3425, 993.0, 47.12, 3.45
1.752, 185.0, 1244.94, 91.13
0.3435, 950.6, 48.10, 3.52
1.754, 185.6, 1245.31, 91.16
0.3445, 795.7, 48.97, 3.58
1.756, 184.9, 1245.68, 91.19
0.3455, 939.2, 49.84, 3.65
1.758, 184.3, 1246.05, 91.21
0.3465, 926.4, 50.77, 3.72
1.760, 183.1, 1246.42, 91.24
0.3475, 901.7, 51.68, 3.78
1.762, 179.3, 1246.78, 91.27
0.3485, 897.2, 52.58, 3.85
1.764, 180.7, 1247.14, 91.29
0.3495, 889.8, 53.48, 3.91
1.766, 181.7, 1247.51, 91.32
0.3505, 1050, 54.45, 3.99
1.768, 180.2, 1247.87, 91.35
0.3515, 979.5, 55.46, 4.06
1.770, 179.1, 1248.23, 91.37
0.3525, 907.9, 56.40, 4.13
1.772, 179.4, 1248.59, 91.40
0.3535, 1033, 57.37, 4.20
1.774, 179.2, 1248.94, 91.42
0.3545, 1111, 58.45, 4.28
1.776, 176.3, 1249.30, 91.45
0.3555, 1045, 59.52, 4.36
1.778, 174.7, 1249.65, 91.48
0.3565, 912.3, 60.50, 4.43
1.780, 175.6, 1250.00, 91.50
0.3575, 796.0, 61.36, 4.49
1.782, 174.7, 1250.35, 91.53
0.3585, 693.6, 62.10, 4.55
1.784, 173.5, 1250.70, 91.55
0.3595, 991.1, 62.94, 4.61
1.786, 173.9, 1251.05, 91.58
0.3605, 970.8, 63.92, 4.68
1.788, 174.7, 1251.40, 91.60
0.3615, 878.1, 64.85, 4.75
1.790, 173.3, 1251.74, 91.63
0.3625, 997.8, 65.79, 4.82
1.792, 172.1, 1252.09, 91.65
0.3635, 996.9, 66.78, 4.89
1.794, 170.9, 1252.43, 91.68
0.3645, 1013, 67.79, 4.96
1.796, 170.6, 1252.77, 91.70
0.3655, 1152, 68.87, 5.04
1.798, 170.3, 1253.11, 91.73
0.3665, 1233, 70.07, 5.13
1.800, 169.9, 1253.45, 91.75
0.3675, 1180, 71.27, 5.22
1.802, 167.2, 1253.79, 91.78
0.3685, 1101, 72.41, 5.30
1.804, 168.8, 1254.13, 91.80
0.3695, 1226, 73.58, 5.39
1.806, 168.8, 1254.47, 91.83
0.3705, 1139, 74.76, 5.47
1.808, 168.5, 1254.80, 91.85
0.3715, 1175, 75.91, 5.56
1.810, 168.6, 1255.14, 91.88
0.3725, 1054, 77.03, 5.64
1.812, 167.5, 1255.48, 91.90
0.3735, 920.2, 78.02, 5.71
1.814, 165.8, 1255.81, 91.93
0.3745, 900.4, 78.93, 5.78
1.816, 160.5, 1256.14, 91.95
0.3755, 1062, 79.91, 5.85
1.818, 152.0, 1256.45, 91.97
0.3765, 1085, 80.98, 5.93
1.820, 159.6, 1256.76, 92.00
0.3775, 1282, 82.16, 6.01
1.822, 159.8, 1257.08, 92.02
0.3785, 1327, 83.47, 6.11
1.824, 162.4, 1257.40, 92.04
0.3795, 1066, 84.67, 6.20
1.826, 162.8, 1257.73, 92.07
0.3805, 1202, 85.80, 6.28
1.828, 161.1, 1258.05, 92.09
0.3815, 1082, 86.94, 6.36
